id2;defaulted (Failed to pay his bill);monthly_spend;customer_until
122;FALSE;244;NA
123;TRUE;301;02/06/15
124;FALSE;150;NA
125;TRUE;2062;18/09/14
126;FALSE;663;NA
127;FALSE;1814;08/11/14
128;FALSE;251;NA
129;FALSE;1072;NA
130;TRUE;1432;12/11/13
131;FALSE;106;09/04/14
132;FALSE;1052;NA
133;FALSE;686;NA
134;FALSE;2845;NA
135;FALSE;1826;NA
136;FALSE;101;NA
138;FALSE;148;NA
139;FALSE;388;15/05/15
140;FALSE;96;NA
141;TRUE;230;04/01/15
142;FALSE;225;NA
143;FALSE;150;06/11/14
144;TRUE;1012;31/07/15
145;FALSE;1264;NA
146;FALSE;1425;NA
147;TRUE;803;08/05/15
148;FALSE;166;NA
149;FALSE;5432;NA
150;FALSE;193;NA
151;FALSE;149;NA
152;FALSE;711;NA
153;FALSE;1064;NA
154;FALSE;1836;NA
155;TRUE;719;21/09/14
156;TRUE;2342;13/02/13
157;FALSE;328;NA
158;TRUE;3855;19/05/14
159;TRUE;125;03/03/15
160;TRUE;49;30/12/13
161;FALSE;178;NA
162;FALSE;3005;NA
163;FALSE;514;NA
165;FALSE;147;NA
166;FALSE;825;NA
167;FALSE;1097;NA
168;TRUE;1288;24/12/14
169;FALSE;5221;28/09/14
170;FALSE;497;NA
171;FALSE;214;NA
172;FALSE;75;NA
173;FALSE;4007;NA
174;FALSE;2558;NA
175;FALSE;767;NA
176;FALSE;1366;NA
177;TRUE;623;16/04/15
178;FALSE;1475;NA
179;FALSE;23;NA
180;FALSE;1842;NA
181;FALSE;1276;NA
182;FALSE;471;NA
183;FALSE;1167;NA
184;FALSE;562;NA
185;FALSE;630;NA
186;FALSE;21;NA
187;FALSE;415;NA
188;TRUE;1624;07/11/14
189;FALSE;1420;11/12/14
190;FALSE;3597;NA
191;FALSE;1862;NA
192;FALSE;3001;NA
193;FALSE;947;NA
194;FALSE;1224;NA
195;FALSE;609;NA
196;FALSE;801;23/11/14
197;FALSE;481;NA
198;FALSE;1473;NA
199;FALSE;17;NA
200;TRUE;959;04/09/11
201;FALSE;1254;18/08/15
202;TRUE;241;17/09/12
203;FALSE;71;NA
204;FALSE;243;NA
205;TRUE;1254;27/04/14
206;TRUE;89;19/01/14
207;FALSE;3213;NA
208;FALSE;1568;NA
209;FALSE;1294;26/04/13
210;TRUE;3600;04/06/14
211;TRUE;740;10/04/14
212;FALSE;1070;NA
213;FALSE;1467;NA
214;FALSE;1365;NA
215;FALSE;168;NA
216;FALSE;249;NA
217;FALSE;1893;NA
218;FALSE;135;NA
219;FALSE;332;NA
220;FALSE;415;NA
221;FALSE;715;12/06/12
222;FALSE;1569;NA
223;TRUE;885;01/03/12
224;FALSE;2013;NA
225;FALSE;1614;NA
226;FALSE;3874;09/09/14
227;FALSE;392;NA
228;FALSE;7876;NA
229;FALSE;153;NA
230;TRUE;2902;20/12/14
231;FALSE;545;20/07/14
232;TRUE;1568;03/05/14
233;FALSE;164;NA
234;FALSE;1602;20/11/14
235;FALSE;584;NA
236;FALSE;1155;NA
237;FALSE;817;NA
238;TRUE;1431;22/12/14
239;FALSE;1418;NA
240;FALSE;719;NA
241;FALSE;746;NA
242;FALSE;65;NA
243;FALSE;470;NA
244;TRUE;1748;04/07/15
245;FALSE;495;NA
246;TRUE;470;23/06/14
247;FALSE;1147;NA
248;FALSE;175;NA
249;TRUE;526;20/10/13
250;TRUE;422;02/02/15
251;TRUE;370;14/08/13
252;FALSE;212;NA
253;FALSE;1620;NA
254;FALSE;1887;NA
255;FALSE;2184;NA
256;FALSE;1245;NA
257;FALSE;1167;NA
259;FALSE;1157;NA
260;TRUE;749;08/08/14
261;FALSE;2247;NA
262;FALSE;85;NA
263;FALSE;261;NA
264;FALSE;263;NA
265;TRUE;1429;18/08/15
266;TRUE;521;18/11/13
267;FALSE;172;NA
268;FALSE;211;NA
269;TRUE;884;10/06/15
270;FALSE;4;NA
271;FALSE;436;NA
272;FALSE;646;NA
273;FALSE;1114;NA
274;FALSE;342;NA
275;FALSE;143;NA
276;FALSE;1350;NA
277;FALSE;903;NA
278;FALSE;512;NA
279;TRUE;934;18/02/15
280;FALSE;275;NA
281;TRUE;4316;09/11/14
282;FALSE;471;NA
283;FALSE;1752;NA
284;FALSE;2140;NA
285;FALSE;1523;NA
286;FALSE;733;29/05/15
287;FALSE;493;NA
288;FALSE;354;NA
289;TRUE;1234;02/07/15
290;FALSE;74;NA
291;FALSE;63;NA
292;FALSE;1224;NA
293;FALSE;4609;NA
294;FALSE;1843;NA
295;TRUE;129;31/10/13
296;FALSE;1179;NA
297;FALSE;44;09/10/14
298;FALSE;71;NA
299;FALSE;2311;NA
300;FALSE;290;NA
301;TRUE;0;21/08/15
302;FALSE;273;NA
303;FALSE;668;NA
304;FALSE;411;NA
305;FALSE;150;12/07/14
306;FALSE;1193;NA
307;FALSE;1258;NA
308;FALSE;1110;NA
309;FALSE;1195;NA
310;TRUE;300;09/12/11
311;FALSE;1023;17/10/14
312;FALSE;1227;NA
313;FALSE;489;NA
314;TRUE;1007;05/01/13
315;FALSE;1866;NA
316;FALSE;944;NA
317;FALSE;515;NA
318;TRUE;72;22/03/14
319;TRUE;82;25/12/13
320;FALSE;0;NA
321;FALSE;5;NA
322;FALSE;1317;NA
323;FALSE;879;NA
324;FALSE;200;NA
325;FALSE;160;NA
326;FALSE;37;NA
327;FALSE;835;NA
328;TRUE;1304;25/09/13
329;FALSE;352;NA
330;FALSE;2152;NA
331;FALSE;1651;NA
332;FALSE;5211;NA
333;FALSE;1594;NA
334;FALSE;3025;NA
335;FALSE;518;NA
336;TRUE;3562;30/06/14
337;TRUE;1397;04/08/13
338;FALSE;740;NA
339;FALSE;421;NA
340;FALSE;599;NA
341;FALSE;2676;NA
342;FALSE;1620;29/09/12
343;FALSE;1932;NA
344;FALSE;210;NA
345;TRUE;2840;20/04/15
346;FALSE;859;NA
347;TRUE;245;28/06/15
349;TRUE;51;29/12/14
350;TRUE;396;21/08/15
351;FALSE;63;NA
352;FALSE;1993;20/03/13
353;TRUE;261;26/11/14
354;FALSE;325;NA
355;FALSE;1828;NA
356;FALSE;992;NA
357;FALSE;69;NA
358;FALSE;1164;26/09/13
359;FALSE;1006;NA
361;TRUE;1288;24/12/13
362;TRUE;425;12/09/13
363;FALSE;2064;NA
364;FALSE;363;NA
365;FALSE;3390;NA
366;FALSE;252;NA
367;TRUE;124;19/07/14
368;FALSE;335;NA
369;FALSE;184;NA
370;FALSE;873;20/09/14
371;FALSE;207;NA
372;FALSE;588;NA
373;FALSE;76;NA
374;TRUE;152;28/07/15
375;FALSE;699;NA
376;FALSE;19;NA
377;FALSE;11;NA
378;TRUE;2225;26/11/12
379;FALSE;140;NA
380;TRUE;1611;05/05/13
381;FALSE;1284;NA
382;FALSE;2773;NA
383;FALSE;2446;NA
384;FALSE;8;NA
385;FALSE;1341;NA
386;FALSE;472;NA
387;FALSE;595;NA
388;FALSE;246;NA
389;FALSE;1231;NA
390;FALSE;625;NA
391;FALSE;1211;30/05/14
392;FALSE;973;NA
393;FALSE;72;NA
394;FALSE;19;NA
395;FALSE;474;16/03/13
396;FALSE;1862;23/01/15
397;FALSE;1824;NA
398;TRUE;1615;17/10/13
399;FALSE;3699;NA
400;TRUE;1606;23/04/13
401;TRUE;645;14/04/15
402;FALSE;196;NA
404;FALSE;2006;NA
405;FALSE;4568;NA
407;TRUE;665;30/07/13
408;FALSE;1600;NA
409;FALSE;1234;NA
410;FALSE;87;04/09/13
411;FALSE;2612;NA
412;TRUE;157;02/02/15
413;FALSE;212;NA
414;FALSE;223;NA
415;FALSE;133;NA
416;FALSE;1011;07/07/15
417;TRUE;509;20/12/14
418;TRUE;1366;14/10/12
419;FALSE;1754;NA
420;FALSE;23;NA
421;FALSE;85;NA
422;TRUE;1008;23/01/14
423;FALSE;170;NA
424;TRUE;1231;28/01/13
425;TRUE;938;29/10/13
426;TRUE;146;02/05/15
427;FALSE;76;NA
429;FALSE;1342;NA
430;FALSE;1370;01/01/15
431;TRUE;454;27/08/12
432;FALSE;1462;26/07/13
433;FALSE;1510;NA
434;TRUE;1206;07/10/13
435;FALSE;1908;NA
436;FALSE;1525;13/03/15
437;TRUE;1207;27/10/12
438;TRUE;2186;14/01/14
439;FALSE;745;NA
440;TRUE;1349;18/04/13
441;FALSE;546;NA
442;FALSE;241;NA
443;FALSE;1623;NA
444;FALSE;271;05/12/13
445;TRUE;63;27/10/14
447;FALSE;981;NA
448;FALSE;573;NA
449;FALSE;980;NA
450;FALSE;619;NA
451;FALSE;346;NA
452;FALSE;310;13/09/13
453;FALSE;2516;NA
454;FALSE;427;NA
455;FALSE;53;NA
456;FALSE;1665;NA
457;TRUE;2631;30/09/11
458;TRUE;279;19/03/12
459;FALSE;185;NA
460;FALSE;1432;NA
461;FALSE;444;NA
462;FALSE;535;NA
463;FALSE;424;NA
464;FALSE;2807;NA
465;FALSE;158;NA
466;TRUE;4517;03/11/13
467;FALSE;828;22/04/14
468;FALSE;583;NA
469;FALSE;155;NA
470;FALSE;981;02/08/13
471;TRUE;2069;20/08/13
472;TRUE;2697;21/04/12
473;FALSE;792;NA
474;TRUE;922;29/11/12
475;FALSE;2143;NA
476;FALSE;577;NA
477;TRUE;17;10/02/15
478;TRUE;2290;08/07/15
479;FALSE;758;NA
480;FALSE;8991;NA
481;FALSE;652;NA
482;FALSE;914;01/08/15
483;TRUE;1792;08/12/13
484;FALSE;5;NA
485;FALSE;251;NA
486;FALSE;3184;NA
487;TRUE;1348;20/02/14
488;FALSE;2231;NA
489;FALSE;60;NA
490;FALSE;770;NA
491;FALSE;241;NA
492;TRUE;692;28/02/14
494;FALSE;307;NA
495;FALSE;998;NA
496;FALSE;19;NA
497;FALSE;3026;NA
498;FALSE;286;27/06/14
499;FALSE;1015;NA
500;FALSE;411;30/08/14
502;FALSE;3067;NA
503;FALSE;398;NA
504;FALSE;1290;NA
505;TRUE;1076;21/05/14
506;TRUE;2821;01/01/15
508;FALSE;1596;NA
509;FALSE;445;NA
510;FALSE;159;07/11/13
511;TRUE;2056;07/09/12
513;TRUE;1753;19/02/15
514;FALSE;1066;NA
515;FALSE;1376;NA
516;FALSE;243;NA
517;FALSE;97;NA
518;FALSE;1827;NA
519;FALSE;512;NA
520;FALSE;786;28/12/14
521;FALSE;22;22/12/13
522;FALSE;1253;NA
523;FALSE;567;NA
524;FALSE;878;NA
525;TRUE;579;09/10/12
526;FALSE;2129;24/12/13
527;TRUE;739;31/03/15
528;FALSE;303;NA
530;FALSE;2053;NA
531;FALSE;2652;NA
532;FALSE;17;NA
533;FALSE;1159;NA
534;FALSE;1085;NA
535;FALSE;1021;NA
536;FALSE;926;NA
537;TRUE;2991;08/03/14
538;FALSE;499;NA
539;TRUE;1632;17/04/14
540;TRUE;968;24/12/13
541;FALSE;2348;NA
542;FALSE;167;NA
543;FALSE;101;NA
544;FALSE;2007;NA
545;FALSE;1656;NA
546;FALSE;442;NA
547;FALSE;364;NA
548;FALSE;169;NA
549;FALSE;1921;NA
550;TRUE;288;04/03/12
551;FALSE;354;NA
552;FALSE;669;NA
553;FALSE;758;NA
554;FALSE;1466;NA
555;FALSE;221;NA
556;FALSE;1469;NA
557;FALSE;673;NA
558;FALSE;1035;NA
559;FALSE;1955;NA
560;FALSE;452;NA
561;TRUE;516;12/12/12
562;FALSE;525;NA
563;TRUE;143;06/12/14
564;FALSE;458;NA
565;FALSE;966;04/11/12
566;TRUE;4070;08/12/14
567;FALSE;678;NA
568;FALSE;378;NA
569;TRUE;201;19/08/13
570;TRUE;2362;10/04/15
571;FALSE;336;NA
572;FALSE;41;NA
573;FALSE;18;NA
574;FALSE;571;21/04/13
575;FALSE;1029;NA
577;FALSE;847;NA
578;FALSE;2106;NA
579;TRUE;1169;17/06/13
580;TRUE;1417;22/12/14
581;FALSE;0;NA
582;TRUE;1780;28/05/15
583;TRUE;194;01/08/12
584;TRUE;555;29/11/11
585;FALSE;1073;NA
586;FALSE;812;NA
587;FALSE;228;NA
588;FALSE;1222;NA
589;FALSE;2157;NA
590;FALSE;1285;NA
592;FALSE;1400;NA
593;FALSE;376;31/03/15
594;TRUE;459;30/06/15
595;TRUE;1503;30/06/14
596;FALSE;1925;NA
597;TRUE;103;27/11/14
598;FALSE;533;NA
599;FALSE;209;NA
600;FALSE;645;NA
601;FALSE;90;NA
603;FALSE;910;NA
604;FALSE;2206;NA
605;FALSE;1120;NA
606;FALSE;594;NA
607;TRUE;2761;31/12/11
608;FALSE;267;NA
609;FALSE;1090;NA
610;TRUE;1764;15/11/14
611;TRUE;463;04/05/12
612;FALSE;347;NA
613;FALSE;965;NA
614;FALSE;848;NA
615;TRUE;898;02/10/13
616;FALSE;754;NA
617;TRUE;459;02/08/12
618;FALSE;1033;NA
619;FALSE;1459;NA
620;FALSE;1797;NA
621;FALSE;334;NA
622;FALSE;1174;NA
623;FALSE;205;09/10/14
624;FALSE;200;13/05/14
625;FALSE;4298;NA
626;FALSE;1921;NA
627;FALSE;910;NA
628;FALSE;1220;NA
629;TRUE;259;07/10/14
630;FALSE;152;NA
631;FALSE;484;NA
632;FALSE;35;25/03/15
633;FALSE;598;20/07/15
634;TRUE;1288;13/02/15
635;TRUE;1097;05/08/15
636;FALSE;1445;NA
638;FALSE;1837;NA
639;FALSE;505;NA
640;FALSE;8;NA
641;FALSE;1256;NA
643;FALSE;1419;NA
644;FALSE;1569;NA
645;FALSE;1406;NA
646;FALSE;524;NA
647;FALSE;212;NA
648;TRUE;97;17/02/15
649;FALSE;2561;NA
650;FALSE;627;NA
651;FALSE;3939;NA
652;FALSE;3281;NA
653;FALSE;198;NA
654;TRUE;445;11/02/15
655;FALSE;220;NA
657;FALSE;1138;NA
658;FALSE;241;28/08/15
659;FALSE;29;01/06/13
660;FALSE;944;NA
661;FALSE;959;NA
662;FALSE;200;NA
663;FALSE;1191;07/03/15
664;FALSE;1083;NA
665;FALSE;511;NA
666;FALSE;68;NA
667;FALSE;638;22/04/14
668;FALSE;624;NA
669;FALSE;182;19/04/15
670;FALSE;396;NA
671;FALSE;1484;09/04/15
672;TRUE;544;28/04/15
673;FALSE;318;NA
674;FALSE;961;NA
675;FALSE;150;NA
676;FALSE;1220;NA
677;FALSE;3471;NA
678;TRUE;1535;15/07/15
679;TRUE;3047;01/04/12
680;FALSE;112;NA
681;TRUE;1532;21/10/14
682;FALSE;259;NA
683;FALSE;424;NA
684;FALSE;535;NA
685;TRUE;496;24/05/15
686;TRUE;626;21/08/13
687;TRUE;0;10/01/13
688;FALSE;1085;NA
689;TRUE;1103;29/05/13
690;FALSE;1239;NA
691;FALSE;1326;NA
692;FALSE;239;18/05/15
693;TRUE;943;13/06/13
694;FALSE;898;NA
695;FALSE;58;NA
696;FALSE;2420;NA
697;FALSE;258;30/03/14
698;FALSE;201;NA
699;FALSE;0;NA
700;FALSE;293;NA
701;FALSE;199;NA
702;FALSE;1093;NA
703;TRUE;1703;06/02/13
704;TRUE;608;26/02/13
705;TRUE;360;26/01/15
706;FALSE;1924;NA
707;FALSE;13;NA
708;TRUE;1469;02/04/15
709;FALSE;1148;NA
710;FALSE;9;NA
711;FALSE;1034;NA
712;FALSE;353;02/02/14
713;FALSE;31;31/05/15
714;FALSE;152;NA
715;TRUE;345;21/08/14
716;FALSE;1248;NA
717;FALSE;268;NA
718;TRUE;2394;31/03/15
719;FALSE;373;NA
720;FALSE;3705;NA
721;FALSE;213;NA
722;FALSE;89;NA
723;FALSE;677;NA
724;FALSE;108;NA
725;FALSE;1318;NA
726;FALSE;1377;NA
727;FALSE;1043;NA
728;FALSE;1377;NA
729;TRUE;840;28/03/14
730;FALSE;37;NA
731;FALSE;478;NA
732;FALSE;1574;NA
733;TRUE;2292;07/07/15
734;FALSE;1807;NA
735;FALSE;1104;NA
736;FALSE;881;NA
737;FALSE;492;05/08/15
738;FALSE;419;10/11/14
739;FALSE;708;10/05/15
740;FALSE;1551;NA
741;FALSE;23;20/06/14
742;FALSE;24;NA
743;FALSE;108;NA
744;FALSE;154;NA
745;FALSE;149;19/08/13
746;FALSE;1269;NA
747;FALSE;42;NA
748;FALSE;93;NA
749;FALSE;168;NA
750;FALSE;1374;NA
751;FALSE;949;NA
752;FALSE;355;NA
753;FALSE;867;NA
754;TRUE;120;04/03/14
755;TRUE;2078;13/11/14
756;FALSE;1194;14/03/14
757;FALSE;180;24/10/13
758;TRUE;1101;02/10/12
759;TRUE;122;29/01/15
760;FALSE;649;NA
761;FALSE;240;NA
762;TRUE;655;12/07/14
763;TRUE;48;04/08/13
764;FALSE;1274;10/05/15
765;FALSE;239;NA
766;FALSE;0;NA
767;FALSE;784;02/05/12
768;TRUE;1226;26/05/13
769;FALSE;2819;30/04/14
770;FALSE;2494;NA
771;FALSE;1321;NA
772;FALSE;68;NA
773;TRUE;1099;15/12/12
774;FALSE;317;NA
775;FALSE;1126;NA
776;FALSE;1591;10/09/14
777;FALSE;2212;NA
778;TRUE;1547;26/04/12
779;FALSE;5735;NA
780;FALSE;807;NA
781;FALSE;529;NA
782;FALSE;12;NA
783;TRUE;251;05/02/13
784;FALSE;416;NA
785;FALSE;237;27/07/12
786;FALSE;1852;NA
787;TRUE;93;19/07/14
788;FALSE;2064;NA
789;TRUE;852;04/03/15
790;FALSE;1211;NA
791;FALSE;958;NA
792;FALSE;660;NA
793;FALSE;2514;NA
794;FALSE;467;NA
795;TRUE;2194;26/03/13
796;FALSE;711;NA
797;FALSE;437;NA
798;FALSE;930;NA
799;FALSE;569;NA
800;FALSE;1537;NA
801;FALSE;318;NA
802;FALSE;3541;NA
803;FALSE;1594;NA
804;FALSE;746;NA
805;TRUE;1220;05/10/12
806;FALSE;3113;NA
807;FALSE;260;06/02/15
808;FALSE;33;NA
809;FALSE;1207;NA
810;FALSE;709;NA
811;FALSE;2089;NA
812;TRUE;933;23/05/13
813;FALSE;1409;NA
814;FALSE;587;19/12/14
815;FALSE;2378;NA
816;FALSE;1856;NA
817;TRUE;463;02/04/13
818;FALSE;1161;NA
819;TRUE;448;25/10/13
820;FALSE;22;28/03/14
821;FALSE;1578;25/07/14
822;TRUE;1953;14/05/14
823;FALSE;1869;20/10/12
824;FALSE;1723;NA
825;FALSE;771;NA
826;TRUE;239;04/04/14
827;FALSE;2064;NA
828;FALSE;1750;NA
829;TRUE;489;10/12/14
830;FALSE;338;NA
831;TRUE;388;26/11/12
832;FALSE;1374;NA
833;FALSE;845;NA
834;FALSE;594;NA
835;FALSE;225;NA
836;FALSE;716;NA
837;TRUE;1120;04/09/15
838;FALSE;1264;NA
839;FALSE;1283;NA
840;FALSE;2972;NA
841;FALSE;2325;NA
842;FALSE;3085;26/01/14
843;FALSE;15;18/06/15
844;FALSE;305;NA
845;FALSE;312;NA
846;FALSE;1096;NA
847;FALSE;72;NA
848;FALSE;1092;NA
849;FALSE;1221;NA
850;FALSE;738;NA
851;FALSE;558;NA
852;FALSE;437;NA
854;TRUE;1275;28/09/14
855;FALSE;2484;03/03/14
857;FALSE;926;07/12/14
858;FALSE;554;NA
859;FALSE;1109;NA
860;FALSE;812;28/08/15
861;FALSE;1321;NA
862;TRUE;1402;11/11/12
863;FALSE;814;NA
864;FALSE;1035;NA
865;FALSE;8;NA
866;TRUE;98;13/11/14
867;FALSE;378;NA
868;FALSE;59;28/06/14
869;FALSE;904;23/03/15
870;FALSE;33;NA
871;FALSE;17;NA
872;FALSE;2209;NA
873;FALSE;236;NA
874;TRUE;26;15/07/13
875;TRUE;887;21/12/12
876;FALSE;255;NA
877;FALSE;516;NA
878;FALSE;713;NA
879;FALSE;732;NA
880;FALSE;330;NA
881;TRUE;119;03/01/12
883;FALSE;208;NA
884;TRUE;506;14/08/12
885;FALSE;617;NA
886;FALSE;232;NA
887;FALSE;1054;NA
888;FALSE;1037;NA
889;FALSE;243;NA
890;FALSE;140;NA
891;FALSE;1420;30/07/14
893;FALSE;1137;NA
894;FALSE;26;NA
895;FALSE;1271;NA
896;FALSE;205;NA
897;FALSE;3659;NA
898;TRUE;561;19/02/13
899;TRUE;176;13/02/15
900;FALSE;692;NA
901;FALSE;517;09/05/14
902;FALSE;1116;NA
903;FALSE;1163;NA
904;FALSE;4802;20/08/15
905;FALSE;1803;18/10/13
906;FALSE;1763;NA
907;TRUE;921;21/05/15
908;TRUE;683;17/12/12
909;TRUE;433;24/04/15
910;FALSE;1073;NA
911;TRUE;265;24/12/13
912;FALSE;847;NA
913;FALSE;1933;NA
914;FALSE;1;NA
915;FALSE;2215;NA
916;TRUE;610;02/05/15
917;TRUE;1348;18/10/14
918;FALSE;993;NA
919;TRUE;20;04/10/12
920;FALSE;1368;NA
921;FALSE;159;12/03/14
922;TRUE;1321;09/08/12
923;FALSE;2408;NA
924;FALSE;91;NA
925;FALSE;2290;NA
926;FALSE;779;NA
927;FALSE;689;NA
929;FALSE;239;NA
930;FALSE;51;NA
931;FALSE;825;NA
932;FALSE;511;15/12/13
933;FALSE;85;NA
934;FALSE;85;NA
935;FALSE;1648;26/01/15
936;FALSE;1155;NA
937;FALSE;734;NA
938;FALSE;985;NA
939;FALSE;3027;NA
940;FALSE;1855;NA
941;FALSE;286;NA
942;FALSE;1535;NA
943;FALSE;188;22/07/15
944;FALSE;133;19/05/15
945;FALSE;1058;NA
946;FALSE;396;NA
947;FALSE;126;28/01/15
948;FALSE;4884;NA
949;FALSE;1534;NA
950;FALSE;1131;29/12/14
951;FALSE;1130;NA
952;FALSE;425;NA
953;TRUE;1664;05/05/13
954;FALSE;887;NA
955;FALSE;306;NA
956;FALSE;1106;NA
957;FALSE;1530;NA
958;FALSE;185;28/05/14
959;TRUE;422;31/07/15
960;FALSE;69;NA
961;FALSE;1444;NA
962;FALSE;293;NA
963;FALSE;161;NA
964;FALSE;1069;NA
965;FALSE;5638;NA
966;TRUE;537;25/02/12
967;FALSE;221;13/02/15
968;FALSE;3226;NA
969;FALSE;1601;NA
970;FALSE;19;NA
971;FALSE;323;NA
972;TRUE;40;28/02/15
973;TRUE;752;12/09/14
974;TRUE;85;15/03/14
975;FALSE;1145;NA
976;FALSE;355;NA
977;TRUE;98;01/06/14
978;FALSE;1116;NA
979;FALSE;2155;NA
980;FALSE;1345;NA
981;FALSE;413;NA
982;FALSE;1699;NA
984;FALSE;157;NA
985;FALSE;0;NA
986;FALSE;841;NA
987;FALSE;2060;NA
988;FALSE;658;NA
989;FALSE;19;NA
990;FALSE;1654;NA
991;FALSE;1680;NA
992;TRUE;1357;17/02/12
993;TRUE;313;17/07/15
994;FALSE;478;NA
995;FALSE;425;NA
996;TRUE;1232;20/06/14
997;FALSE;87;NA
998;TRUE;1798;11/04/14
999;TRUE;1965;20/01/15
1000;FALSE;2148;NA
1001;FALSE;1304;24/01/15
1002;FALSE;884;NA
1003;FALSE;1061;NA
1004;FALSE;1232;NA
1005;FALSE;761;NA
1006;FALSE;543;NA
1007;FALSE;73;NA
1008;FALSE;1804;NA
1009;FALSE;2073;NA
1010;FALSE;517;NA
1011;FALSE;1710;NA
1012;FALSE;1100;NA
1013;FALSE;267;NA
1014;FALSE;1241;NA
1015;TRUE;2912;29/08/13
1016;FALSE;27;NA
1017;FALSE;1143;NA
1018;FALSE;2240;NA
1019;FALSE;685;NA
1020;FALSE;1250;NA
1021;FALSE;136;08/09/12
1022;FALSE;1084;15/11/14
1023;FALSE;2545;NA
1024;FALSE;1108;15/08/14
1025;TRUE;180;15/11/14
1026;FALSE;102;30/06/14
1027;FALSE;1696;NA
1028;FALSE;121;15/10/13
1029;FALSE;187;NA
1030;FALSE;1195;NA
1031;FALSE;1036;NA
1032;FALSE;759;NA
1033;FALSE;12608;NA
1034;FALSE;67;NA
1035;FALSE;399;NA
1036;TRUE;718;15/12/14
1037;FALSE;444;NA
1038;FALSE;23;NA
1039;FALSE;1238;NA
1040;FALSE;335;NA
1041;FALSE;394;15/12/14
1042;FALSE;674;NA
1043;FALSE;1844;NA
1044;FALSE;58;NA
1045;FALSE;804;NA
1046;FALSE;583;NA
1047;FALSE;1458;NA
1049;TRUE;1370;23/05/12
1050;FALSE;594;NA
1051;FALSE;1481;NA
1052;FALSE;785;NA
1053;TRUE;589;15/12/14
1054;FALSE;1002;NA
1055;FALSE;717;NA
1056;FALSE;384;NA
1057;FALSE;2022;NA
1058;FALSE;2048;NA
1059;FALSE;101;NA
1060;FALSE;364;02/03/15
1061;FALSE;567;NA
1062;FALSE;1101;NA
1063;FALSE;673;NA
1064;TRUE;2842;15/09/12
