Id2;application_when;address_state;occupation;birth_date;monthly_income;monthly_rent;residence_rent_or_own;residence_duration;bank_account_duration;home_phone_type;gender;score_TU;score_FICO_money;score_lexisnexis;score_serasa;score_unit4;credit_line_requested;credit_line_approved
41;24/05/14 15:44;MG;Mail processing machine operator;12/03/63;5100;1050;TRUE;3+ years;7-12 months;Work;female;200;464;228;498;206;4000;3500
42;02/10/12 10:09;SP;Field sales supervisor;22/08/41;3900;3250;FALSE;6 months or less;7-12 months;Mobile;male;200;100;256;600;219;1500;1100
43;24/04/12 19:50;DF;Instructional assistant;08/02/58;6200;5200;TRUE;3+ years;1-2 years;Mobile;male;699;850;577;115;493;12500;11400
44;13/09/12 05:06;SP;Conservation technician;10/06/87;1100;500;TRUE;3+ years;6 months or less;Home;male;799;805;690;0;673;13500;13400
45;09/12/13 21:54;SP;Oral surgeon;29/01/81;5300;1150;TRUE;3+ years;3+ years;Mobile;male;200;252;306;357;351;18500;17500
46;10/11/12 10:41;SP;Hydrologist;29/08/62;700;450;FALSE;3+ years;1-2 years;Mobile;female;704;850;690;0;201;2000;1200
47;07/11/14 13:29;RJ;Oncology nurse;01/02/80;6300;2750;TRUE;1-2 years;1-2 years;Mobile;male;633;680;345;161;575;2000;1100
48;19/10/12 16:12;GO;Aircraft flight engineer;05/02/83;5700;4100;FALSE;1-2 years;3+ years;Mobile;male;200;222;244;29;413;1500;1100
49;24/07/13 12:55;MT;Biomedical equipment technician;11/01/65;2300;400;FALSE;1-2 years;3+ years;Mobile;female;673;571;515;510;734;1500;1100
50;08/07/13 10:05;MA;Engineering geologist;04/10/76;10200;3000;TRUE;6 months or less;1-2 years;Mobile;female;200;450;207;153;607;13000;11900
51;12/01/15 21:18;SP;Contract cutter;19/11/89;3400;1150;TRUE;3+ years;1-2 years;Mobile;female;416;308;423;707;147;2000;1600
52;04/12/13 10:41;SP;Medical record coder;11/12/75;10300;2300;TRUE;3+ years;6 months or less;Mobile;female;686;753;523;0;506;2000;1100
53;15/09/12 00:48;PR;Volcanologist;12/03/76;3800;1300;TRUE;6 months or less;6 months or less;Home;female;614;681;562;12;406;2000;1100
54;15/04/15 10:46;DF;Appellate court judge;26/05/73;1100;600;TRUE;3+ years;3+ years;Mobile;male;767;673;665;286;515;9000;8200
55;02/07/12 13:59;GO;Radiologic nurse;14/06/80;5700;50;FALSE;3+ years;3+ years;Mobile;male;732;671;676;518;359;19500;18500
56;01/09/13 14:20;CE;Building consultant;03/08/81;3000;1050;TRUE;3+ years;3+ years;Mobile;male;729;734;690;464;406;2000;1200
57;21/04/14 08:07;SP;Detention officer;11/10/57;5400;0;FALSE;1-2 years;3+ years;Home;female;200;100;289;0;587;9000;8800
58;30/06/13 15:01;RJ;Human resources consultant;07/12/78;900;850;TRUE;6 months or less;3+ years;Mobile;female;365;292;262;629;342;3000;1100
59;13/07/13 14:27;SP;Billing machine operator;15/08/89;3900;900;TRUE;3+ years;3+ years;Mobile;female;739;701;675;147;190;6500;6100
60;20/07/12 19:36;MG;Private household cook;14/06/56;3900;1600;FALSE;6 months or less;3+ years;Mobile;female;200;530;200;76;128;11000;10300
61;23/09/14 11:50;SP;Anthropologist;24/08/94;5200;950;TRUE;3+ years;3+ years;Mobile;female;718;850;683;0;447;1500;1100
62;20/04/13 10:15;PI;Inside order clerk;06/08/78;3600;600;TRUE;3+ years;3+ years;Mobile;male;752;684;638;638;400;1500;1000
63;02/03/12 17:06;RS;Film and video editor;13/12/60;3400;2050;TRUE;3+ years;6 months or less;Mobile;female;734;748;605;0;408;20000;19200
64;13/12/14 14:11;RN;Middle school teacher;12/01/90;16900;2650;FALSE;3+ years;1-2 years;Mobile;male;652;850;517;384;688;8500;7400
65;12/11/13 22:08;TO;Structural metal fabricator;19/05/84;1100;2450;TRUE;1-2 years;3+ years;Mobile;male;381;416;391;84;365;3000;1900
66;19/10/14 11:53;PE;Cab driver;20/01/68;1800;100;TRUE;3+ years;3+ years;Mobile;male;200;479;217;357;163;2000;1100
67;08/06/13 17:21;SP;Train dispatcher;14/11/74;2000;1200;TRUE;7-12 months;3+ years;Mobile;female;674;850;660;143;719;2000;1300
68;24/06/13 18:47;SP;Range conservationist;25/08/67;2800;3800;TRUE;3+ years;1-2 years;Mobile;female;200;283;200;42;98;22000;21600
69;07/06/12 10:07;SP;Furnace, kiln, oven, drier, and kettle operator;25/07/77;300;1400;TRUE;3+ years;3+ years;Mobile;male;240;404;476;1;256;1500;1000
70;25/07/11 05:40;DF;Courier;27/10/50;4600;1350;FALSE;7-12 months;3+ years;Mobile;male;200;114;200;77;185;24000;23500
71;14/12/12 20:27;RJ;Pharmacy aide;26/06/60;3200;350;FALSE;3+ years;1-2 years;Home;male;689;467;573;562;278;2000;1500
72;20/06/12 15:55;PB;Furnace installer;01/05/70;2700;1100;TRUE;1-2 years;3+ years;Mobile;male;210;664;200;578;259;1500;1100
73;20/06/11 13:51;RJ;Artist;12/05/58;2700;150;FALSE;3+ years;3+ years;Mobile;female;488;567;563;64;434;16000;15400
74;11/09/13 15:46;MG;Library media aide;11/07/93;3600;300;TRUE;7-12 months;7-12 months;Mobile;female;784;850;633;738;749;14500;12200
75;14/01/12 17:03;MG;Pathologist;05/06/78;4000;300;TRUE;3+ years;7-12 months;Mobile;female;440;531;512;0;350;13500;13000
76;22/01/15 21:49;MG;Short haul or local truck driver;14/08/88;5800;1900;TRUE;1-2 years;3+ years;Mobile;male;200;200;283;64;345;2500;1500
77;26/04/13 17:42;MG;Customs agent;09/12/80;14200;2950;FALSE;3+ years;3+ years;Home;female;735;337;608;0;482;15500;14400
78;09/11/14 21:38;DF;Macromolecular chemist;23/10/73;2700;2150;TRUE;3+ years;3+ years;Mobile;male;200;263;217;65;299;19500;17900
79;17/03/12 20:37;SP;Public relations specialist;18/11/80;700;1050;TRUE;7-12 months;3+ years;Mobile;female;612;576;569;654;265;14000;13500
80;26/02/12 16:02;BA;State police officer;17/06/96;13300;3200;TRUE;3+ years;3+ years;Mobile;female;293;376;360;784;112;23000;22100
81;02/01/14 14:42;SC;Library media aide;08/07/89;2300;400;TRUE;3+ years;3+ years;Mobile;male;627;803;494;326;412;9000;8400
82;30/11/12 13:35;RR;Systems developer;31/03/86;7400;500;TRUE;3+ years;1-2 years;Mobile;female;496;188;430;675;536;27000;26200
83;18/11/13 10:19;MG;Historian;15/08/83;2200;1350;TRUE;3+ years;1-2 years;Mobile;male;200;144;276;527;73;15500;13900
84;17/05/13 19:27;PE;Knitting machine operator;28/10/97;3100;900;TRUE;1-2 years;1-2 years;Mobile;male;770;367;628;0;434;19000;18600
85;14/10/13 20:36;RJ;Histology technician;21/09/57;1600;150;TRUE;3+ years;1-2 years;Mobile;female;251;225;282;535;417;4500;4100
86;30/08/13 11:18;SP;Radio and telecommunications equipment repairer;16/04/90;1900;750;FALSE;3+ years;3+ years;Mobile;female;782;833;672;0;178;10000;9700
87;25/04/14 18:27;RJ;Psychiatric technician;23/07/80;300;2450;FALSE;1-2 years;1-2 years;Mobile;male;781;850;524;264;352;2000;1400
88;13/04/12 16:42;RS;Food and tobacco roasting, baking, and drying machine operator;16/03/71;2400;1900;TRUE;3+ years;1-2 years;Mobile;male;345;555;200;525;335;2500;1300
89;09/06/12 11:09;RJ;Commercial photographer;06/09/53;6700;0;FALSE;7-12 months;3+ years;Home;female;200;150;277;245;327;3000;1100
90;16/02/15 10:51;SP;Gaming dealer;22/11/70;7400;2850;TRUE;1-2 years;3+ years;Mobile;female;682;542;627;461;368;17000;16800
91;06/06/14 11:48;TO;Certified public accountant;16/04/60;13900;0;FALSE;1-2 years;3+ years;Mobile;female;638;624;538;357;473;26000;25900
92;10/02/12 19:11;AL;Payroll analyst;22/03/59;1300;50;FALSE;1-2 years;7-12 months;Mobile;female;279;387;312;588;287;17000;16400
93;20/06/12 13:12;SP;Executive assistant;30/10/68;1700;0;FALSE;7-12 months;3+ years;Mobile;female;200;850;247;261;386;1500;1000
94;06/04/13 18:41;MG;Shipping, receiving, and traffic clerk;25/01/79;2700;800;TRUE;3+ years;1-2 years;Mobile;male;223;100;287;740;370;1500;1100
95;01/02/12 12:13;MA;Credit checker;14/09/72;1900;1250;TRUE;3+ years;7-12 months;Mobile;male;200;100;254;21;305;1500;1000
96;16/07/14 15:38;PR;Power reactor operator;15/05/58;3300;0;FALSE;3+ years;6 months or less;Mobile;male;200;100;200;726;383;18000;17500
97;26/01/13 15:09;RO;Control room operator;21/08/80;3100;850;TRUE;3+ years;3+ years;Mobile;female;225;304;277;476;270;14000;13300
98;05/08/13 15:26;SP;Office support secretary;01/01/79;1100;3900;FALSE;1-2 years;3+ years;Home;male;712;483;498;467;636;1500;1200
99;27/09/11 15:53;ES;Oncology nurse;19/04/58;4800;650;FALSE;1-2 years;6 months or less;Mobile;female;507;637;509;17;353;1500;1000
100;07/03/12 19:13;MG;Switchboard operator;15/02/67;3800;1250;TRUE;3+ years;1-2 years;Home;female;339;253;295;174;333;2000;1000
101;13/05/14 08:14;ES;Employment specialist;14/10/88;3400;1450;TRUE;3+ years;3+ years;Mobile;female;483;566;480;172;485;18000;16900
102;22/11/13 17:50;ES;Judiciary translator;23/08/61;5000;950;TRUE;3+ years;1-2 years;Mobile;male;665;617;623;0;181;7000;6600
103;21/05/14 10:55;RJ;Sales engineer;20/03/60;5100;1900;FALSE;1-2 years;6 months or less;Mobile;female;626;477;490;140;634;1500;1300
104;25/04/11 18:33;MG;Medical scientist;05/12/48;8500;2150;FALSE;3+ years;3+ years;Mobile;female;770;850;544;0;487;5500;5000
105;21/01/14 20:33;BA;Computer-controlled machine tool operator;07/01/90;4600;850;TRUE;1-2 years;6 months or less;Mobile;male;501;277;394;666;358;2000;1000
106;10/10/11 18:53;RR;Range scientist;19/03/77;8500;2350;FALSE;1-2 years;3+ years;Home;female;417;546;378;417;279;21000;19400
107;05/07/12 16:02;SP;Loan interviewer;21/03/91;1100;900;FALSE;3+ years;1-2 years;Mobile;male;572;336;485;545;243;3000;1100
108;29/03/12 20:49;DF;Conservation technician;13/01/89;3700;1250;TRUE;3+ years;7-12 months;Home;male;568;603;539;212;244;1500;1300
109;29/06/15 13:40;RJ;Landscape architect;05/10/74;7200;300;FALSE;3+ years;1-2 years;Mobile;female;200;100;200;489;298;27000;26100
110;20/05/13 12:23;SP;Streetcar operator;14/07/81;2500;600;TRUE;7-12 months;6 months or less;Mobile;male;733;494;454;37;636;6500;5800
111;18/06/13 12:14;MG;Fork lift driver;05/03/80;6200;1250;FALSE;1-2 years;3+ years;Home;female;772;628;612;492;460;7500;5200
112;20/05/13 18:54;RS;Rotary drill operator;10/07/65;1000;2150;FALSE;3+ years;3+ years;Mobile;male;689;592;645;51;633;12000;11300
113;23/05/14 14:46;BA;Finance manager;23/01/90;1100;1000;TRUE;1-2 years;3+ years;Mobile;female;677;850;548;196;703;2500;1800
114;24/02/13 12:52;SP;Molding, coremaking, and casting machine setter;28/05/78;8300;2450;FALSE;3+ years;3+ years;Home;female;262;329;301;370;501;10000;8900
115;27/08/12 12:42;SP;Recruiting manager;06/11/59;3500;0;FALSE;1-2 years;3+ years;Mobile;female;633;219;598;680;727;19000;18400
116;21/08/13 17:31;SP;Prosthodontist;29/07/57;13600;3750;FALSE;1-2 years;3+ years;Mobile;female;767;850;612;375;116;10500;10300
117;09/06/11 15:50;SP;News writer;03/08/67;1700;0;FALSE;3+ years;3+ years;Mobile;male;719;804;629;275;337;8500;6100
118;06/04/15 10:09;GO;Payroll specialist;01/12/77;12900;5800;FALSE;3+ years;7-12 months;Mobile;male;200;236;219;51;411;18000;17500
119;10/01/13 16:01;CE;Log marker;19/03/85;1800;3950;TRUE;3+ years;3+ years;Mobile;male;777;850;689;429;174;15000;14100
120;10/02/14 01:41;SP;CAD operator;13/12/73;3200;1100;FALSE;7-12 months;3+ years;Mobile;female;671;850;482;532;279;4500;4000
121;01/04/13 10:54;PR;Perioperative nurse;16/11/58;4100;2250;FALSE;1-2 years;3+ years;Mobile;female;583;501;425;59;442;1500;1100
122;07/11/13 13:23;GO;Aircraft flight engineer;14/08/98;1700;400;TRUE;3+ years;3+ years;Home;female;607;271;509;536;216;2000;1000
123;02/04/15 17:21;GO;Leather worker;21/10/60;4100;1300;TRUE;6 months or less;3+ years;Work;male;200;707;293;71;356;10500;9600
124;01/05/15 12:17;SC;Soil conservationist;24/04/75;1300;2350;TRUE;3+ years;3+ years;Mobile;male;200;100;294;170;226;9500;8900
125;18/08/14 12:29;AM;Payroll technician;14/01/92;6800;400;FALSE;7-12 months;3+ years;Mobile;male;200;100;239;394;220;4000;1400
126;15/05/14 05:42;RS;Ophthalmic nurse;25/08/81;700;650;TRUE;3+ years;3+ years;Mobile;male;200;109;274;444;338;16000;15500
127;21/05/13 00:46;SP;Camp director;28/12/89;2900;1150;TRUE;3+ years;3+ years;Mobile;male;436;100;263;633;344;2500;1100
128;14/02/14 12:18;MG;Forest fire inspector;12/04/97;700;2700;TRUE;3+ years;1-2 years;Work;male;200;100;200;528;427;2500;1100
129;01/05/15 14:30;RN;Floor finisher;25/10/90;1500;200;TRUE;3+ years;3+ years;Mobile;male;200;442;200;54;433;2000;1200
130;12/11/11 21:35;SP;Travel consultant;22/05/89;9500;1650;TRUE;3+ years;3+ years;Mobile;female;200;386;200;658;413;6000;5500
131;24/09/12 18:28;PA;Technical support specialist;12/10/68;200;1600;TRUE;3+ years;7-12 months;Mobile;male;657;652;544;715;677;2000;1200
132;12/07/14 18:24;SP;Crushing, grinding, and polishing machine tender;23/05/85;1600;250;TRUE;1-2 years;3+ years;Home;female;779;801;672;237;673;4000;1400
133;14/03/13 12:16;BA;Cooperative manager;13/12/78;3300;350;TRUE;3+ years;3+ years;Mobile;female;717;797;561;550;537;16500;15300
134;02/04/14 13:37;RS;Health care administrator;06/08/98;5100;2050;TRUE;3+ years;1-2 years;Mobile;female;676;640;634;0;379;24000;22800
135;18/03/13 23:50;SC;Passenger rate clerk;15/04/59;9800;3700;FALSE;3+ years;3+ years;Mobile;female;669;617;590;31;365;2000;1400
136;30/11/13 19:25;CE;Water treatment plant and system operator;23/04/81;200;0;FALSE;3+ years;3+ years;Mobile;male;200;550;225;573;226;17000;16000
137;29/04/15 17:18;SP;Paste-up worker;10/07/92;1400;1100;TRUE;3+ years;3+ years;Home;female;504;448;453;612;441;17500;16800
138;25/08/14 11:39;MT;Travel consultant;24/02/95;1600;600;TRUE;3+ years;1-2 years;Mobile;male;500;563;550;675;609;12500;10700
139;15/08/12 10:56;SP;Agronomist;09/07/74;3800;1300;TRUE;3+ years;1-2 years;Mobile;male;370;506;356;242;358;1500;1100
140;05/06/14 18:10;SP;Physical meteorologist;18/07/79;100;300;TRUE;3+ years;6 months or less;Mobile;female;200;100;200;541;223;2000;1100
141;04/12/12 11:26;SP;Archivist;20/09/89;4400;1900;TRUE;1-2 years;3+ years;Home;female;731;850;665;236;644;19500;18600
142;30/01/14 14:28;PA;Railroad switch operator;03/01/81;1000;150;TRUE;3+ years;3+ years;Mobile;female;200;121;200;61;206;2000;1000
143;20/01/13 11:18;SP;Maintenance technician;06/04/67;500;1550;TRUE;3+ years;1-2 years;Mobile;male;267;533;303;38;356;2000;1100
144;31/08/14 18:32;RS;Payroll administrator;08/04/85;1900;850;TRUE;6 months or less;7-12 months;Home;female;736;850;559;315;390;1500;1100
145;09/05/13 17:30;ES;Media outreach specialist;22/05/70;4700;0;FALSE;3+ years;3+ years;Mobile;male;610;554;605;742;391;2000;1300
146;25/01/15 15:51;MG;News correspondent;02/11/89;2300;950;TRUE;7-12 months;3+ years;Mobile;male;200;300;208;509;93;3500;1300
147;08/05/14 02:42;SP;Textile knitting and weaving machine operator;28/10/67;7600;1650;TRUE;3+ years;3+ years;Mobile;female;388;188;472;93;465;21500;20600
148;27/06/13 00:38;PE;Process piping drafter;11/09/67;500;0;FALSE;3+ years;3+ years;Mobile;female;751;615;669;144;657;1500;1100
149;31/10/14 08:25;SP;Payroll administrator;11/04/99;6700;1650;TRUE;3+ years;7-12 months;Mobile;male;455;850;441;133;358;2500;1400
150;27/12/12 15:05;SP;Oncology nurse;09/08/87;3000;1000;TRUE;3+ years;1-2 years;Mobile;male;351;100;448;262;414;6000;5000
151;15/09/12 17:49;GO;Cost/investment recovery technician;08/03/66;5000;1250;TRUE;1-2 years;3+ years;Mobile;male;631;447;549;590;448;7000;5900
152;07/02/15 17:36;PA;Health inspector;31/10/87;3100;2400;TRUE;3+ years;3+ years;Mobile;female;788;824;690;69;748;2500;1200
153;31/05/12 11:57;SP;Airport tower controller;08/12/77;2000;1000;TRUE;3+ years;3+ years;Home;female;781;685;681;461;512;13000;12500
154;31/07/13 10:53;SP;Game warden;12/06/83;5900;1850;TRUE;3+ years;3+ years;Mobile;female;200;307;200;41;306;2000;1100
155;21/03/13 18:58;CE;Web publications designer;15/08/82;6800;1100;TRUE;6 months or less;6 months or less;Mobile;male;565;765;475;531;521;2500;1200
156;13/10/12 11:49;CE;English to speakers of other languages teacher;03/01/65;4700;1150;FALSE;1-2 years;6 months or less;Home;male;541;381;538;41;85;25000;24400
157;10/04/13 15:47;SP;Human services manager;24/06/83;8000;800;FALSE;3+ years;6 months or less;Mobile;male;749;817;690;22;572;16000;15300
158;19/11/13 15:05;CE;Log debarker;17/02/80;8500;2300;TRUE;3+ years;3+ years;Mobile;male;587;510;314;25;406;26000;25800
159;03/01/15 17:32;PR;U.S. Secret Service agent;05/06/87;1600;0;TRUE;6 months or less;7-12 months;Mobile;male;510;492;496;218;215;20000;19100
160;30/04/13 13:45;RJ;Tax examiner;06/02/62;100;250;TRUE;7-12 months;1-2 years;Home;male;200;100;288;459;128;16000;15100
161;10/10/12 12:06;PR;Magnetic resonance (MR) technologist;21/12/91;3100;550;TRUE;7-12 months;3+ years;Mobile;female;659;621;492;532;453;2000;1300
162;14/05/13 20:27;PE;Meatcutter;04/06/62;2200;750;FALSE;6 months or less;1-2 years;Mobile;female;636;739;598;0;679;2000;1600
163;18/06/14 17:49;RJ;Independent adjuster;05/08/79;9800;1550;TRUE;3+ years;1-2 years;Mobile;female;678;679;620;126;486;24500;23800
164;12/09/11 14:14;SP;Research dietitian;08/11/90;3700;150;TRUE;7-12 months;6 months or less;Mobile;male;200;321;225;366;455;21500;21300
165;16/10/13 21:35;GO;Credit manager;12/09/78;500;1250;TRUE;3+ years;1-2 years;Mobile;male;756;651;673;0;404;1500;1000
166;04/02/14 19:43;RJ;Oral hygienist;31/08/71;4400;3350;TRUE;3+ years;3+ years;Mobile;female;281;796;301;325;193;2000;1400
167;23/07/13 11:04;MG;Radio announcer;12/02/60;5900;1600;FALSE;3+ years;3+ years;Mobile;male;514;388;440;301;360;1500;1100
168;24/08/13 14:40;SP;Small engine mechanic;14/03/64;8900;3550;FALSE;7-12 months;3+ years;Home;female;736;677;684;0;333;16500;15600
169;15/05/12 16:52;SC;Coache;14/11/66;5200;1100;TRUE;3+ years;7-12 months;Mobile;male;530;695;509;182;631;2000;1100
170;27/10/14 15:13;BA;Aquaculture farmer;03/04/76;6300;1350;TRUE;3+ years;6 months or less;Home;female;200;312;275;84;335;27000;25900
171;21/03/14 05:24;GO;Counselor;31/10/88;4000;300;TRUE;3+ years;3+ years;Mobile;female;704;602;602;185;388;2500;1100
172;09/06/15 20:36;SP;Range conservationist;08/01/89;6000;2550;TRUE;3+ years;6 months or less;Mobile;male;200;139;279;481;480;8000;6900
173;30/09/13 11:54;MG;Certified nurse-midwife;06/01/84;7500;1150;FALSE;3+ years;6 months or less;Mobile;female;493;573;491;365;528;2000;1200
174;03/05/15 18:40;MG;Psychologist;12/08/67;2400;1550;TRUE;1-2 years;7-12 months;Mobile;male;720;850;598;742;469;19500;18900
175;22/09/12 11:00;DF;Word processor;11/11/66;3800;400;TRUE;3+ years;6 months or less;Mobile;female;200;100;295;369;339;2000;1400
176;17/11/14 13:37;RJ;Aircraft electronics technician;26/08/63;8500;2600;FALSE;3+ years;1-2 years;Mobile;female;655;546;605;788;285;25500;25400
177;16/01/14 10:31;PA;Sports official;17/06/86;1400;0;FALSE;3+ years;3+ years;Mobile;female;367;310;354;250;125;2000;1700
178;23/06/14 21:17;BA;Sailor;05/04/63;4100;900;TRUE;3+ years;3+ years;Mobile;female;716;525;632;451;418;3000;2100
179;02/12/11 15:14;PR;Cost/investment recovery technician;05/12/64;100;550;TRUE;6 months or less;1-2 years;Home;female;200;137;213;127;375;2000;1100
180;05/12/13 09:06;SP;Medical appliance technician;04/04/88;7500;2200;TRUE;3+ years;1-2 years;Mobile;female;731;848;636;458;490;26500;25700
181;17/11/13 10:31;RJ;Newscaster;31/12/84;2100;650;TRUE;3+ years;6 months or less;Mobile;female;280;297;200;66;387;2000;1500
182;18/04/13 10:39;SP;Commissioner;18/05/88;3600;600;TRUE;7-12 months;3+ years;Mobile;female;200;169;282;0;353;2000;1100
183;21/08/14 10:10;ES;Shipping clerk;04/02/95;4000;3000;TRUE;3+ years;3+ years;Mobile;female;358;206;348;681;417;2000;1500
184;30/05/13 12:48;AM;Electronic typesetting machine operator;02/11/57;1200;1900;TRUE;3+ years;3+ years;Mobile;female;770;715;588;212;234;16500;15800
185;04/01/13 19:48;PA;Medical technologist;01/12/74;3200;100;TRUE;3+ years;3+ years;Mobile;female;379;405;400;164;367;18500;16100
186;15/10/14 18:28;BA;Automotive body and related repairer;20/01/85;200;2300;TRUE;3+ years;7-12 months;Home;male;684;850;568;721;235;2500;1000
187;01/04/15 12:17;SP;Ballet master;08/11/91;1200;2050;TRUE;3+ years;6 months or less;Home;female;784;810;559;177;570;2000;1100
188;07/10/14 19:25;SP;Water transportation mate;10/06/83;4000;2350;TRUE;1-2 years;1-2 years;Mobile;male;200;257;200;67;277;20500;19800
